CollegeName,BranchName,Quota,CutoffRank
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,EC Electronics,2AR,5615
E006  M S Ramaiah Institute of Technology  Bangalore,EC Electronics,2AR,5618
E007  Dayananda Sagar College of Engineering  Bangalore,IE Info.Science,GM,5635
E001  University Visveswariah College of Engineering  Bangalore,CS Computers,2AG,5641
E001  University Visveswariah College of Engineering  Bangalore,CS Computers,1G,5652
E056  The National Institute of Engineering  Mysore,EC Electronics,3BG,5653
E001  University Visveswariah College of Engineering  Bangalore,EC Electronics,3BG,5658
"E048  B M S College of Engineering  Basavanagudi,Bangalore",EI Elec. Inst.,2AG,5659
E009  P E S University (Formerly PESIT)  Bangalore,EC Electronics,1G,5661
"E048  B M S College of Engineering  Basavanagudi,Bangalore",ME Mechanical,3BG,5675
E012  Sir M.Visveswaraya Institute of Technology  Bangalore,IE Info.Science,3BG,5680
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,EE Electrical,GM,5730
E012  Sir M.Visveswaraya Institute of Technology  Bangalore,EC Electronics,3AG,5733
E241  KLE Technological University(Formerly BVBCET)  Hubli,CS Computers,GM,5734
E107  B N M Institute of Technology  Bangalore,CS Computers,GM,5739
E005  R. V. College of Engineering  Bangalore,BT Bio Technology,GM,5749
E007  Dayananda Sagar College of Engineering  Bangalore,IE Info.Science,3AG,5783
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,ME Mechanical,GM,5789
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EE Electrical,1G,5797
E141  PES Institute of Technology (South Campus)  Bangalore,IE Info.Science,GM,5804
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,EC Electronics,3AR,5806
E005  R. V. College of Engineering  Bangalore,CE Civil,GMK,5815
E056  The National Institute of Engineering  Mysore,ME Mechanical,3AG,5816
"E048  B M S College of Engineering  Basavanagudi,Bangalore",IE Info.Science,STG,5827
E006  M S Ramaiah Institute of Technology  Bangalore,CH Chemical,GM,5831
E007  Dayananda Sagar College of Engineering  Bangalore,EC Electronics,3AG,5834
"E126  B M S Institute of Technology and Management  Yalahanka,",CS Computers,3AG,5839
E001  University Visveswariah College of Engineering  Bangalore,EC Electronics,1G,5848
E022  The National Institute of Engineering  Mysore,EC Electronics,2AG,5861
E001  University Visveswariah College of Engineering  Bangalore,CS Computers,3BG,5864
E016  Siddaganga Institute of Technology  Tumkur,EC Electronics,GM,5872
E007  Dayananda Sagar College of Engineering  Bangalore,CS Computers,1G,5920
E053  N M A M Institutute of Technology  Nitte,EC Electronics,GM,5938
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,CS Computers,1R,5952
E022  The National Institute of Engineering  Mysore,ME Mechanical,3AG,5957
"E126  B M S Institute of Technology and Management  Yalahanka,",IE Info.Science,GM,5985
E141  PES Institute of Technology (South Campus)  Bangalore,IE Info.Science,3BG,5988
E001  University Visveswariah College of Engineering  Bangalore,CS Computers,2AK,6011
E005  R. V. College of Engineering  Bangalore,EC Electronics,STG,6038
E007  Dayananda Sagar College of Engineering  Bangalore,AE Aeronaut.Engg,3AG,6039
E030  KLE Technological University(Formerly BVBCET)  Hubli,ME Mechanical,GM,6051
E030  KLE Technological University(Formerly BVBCET)  Hubli,EC Electronics,2AG,6060
E016  Siddaganga Institute of Technology  Tumkur,CS Computers,3AG,6066
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,ME Mechanical,3BG,6075
E241  KLE Technological University(Formerly BVBCET)  Hubli,CS Computers,GMK,6110
E005  R. V. College of Engineering  Bangalore,IT Inst.Tech.,2BG,6113
E241  KLE Technological University(Formerly BVBCET)  Hubli,EC Electronics,GM,6127
E056  The National Institute of Engineering  Mysore,ME Mechanical,3BG,6141
E030  KLE Technological University(Formerly BVBCET)  Hubli,EC Electronics,2AR,6161
E118  RNS Institute of Technology  Bangalore,EC Electronics,GM,6168
E006  M S Ramaiah Institute of Technology  Bangalore,EE Electrical,1G,6171
E006  M S Ramaiah Institute of Technology  Bangalore,IT Inst.Tech.,GM,6173
E118  RNS Institute of Technology  Bangalore,CS Computers,3AG,6204
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,CS Computers,2AG,6216
E008  Bangalore Institute of Technology  Bangalore,CS Computers,2AG,6219
E005  R. V. College of Engineering  Bangalore,EE Electrical,2AK,6224
E030  KLE Technological University(Formerly BVBCET)  Hubli,EC Electronics,2BG,6239
E118  RNS Institute of Technology  Bangalore,CS Computers,3BG,6246
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,2AR,6268
E009  P E S University (Formerly PESIT)  Bangalore,ME Mechanical,2BG,6271
"E126  B M S Institute of Technology and Management  Yalahanka,",CS Computers,3BG,6278
E141  PES Institute of Technology (South Campus)  Bangalore,CS Computers,3BG,6303
E008  Bangalore Institute of Technology  Bangalore,CS Computers,1G,6319
E006  M S Ramaiah Institute of Technology  Bangalore,EE Electrical,GMR,6328
